         20874020 function calls (19984092 primitive calls) in 221.636 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      776    0.001    0.000    0.004    0.000 tensor_util.py:324(inner)
       40    0.001    0.000    0.001    0.000 transforms.py:569(count_contains)
       12    0.001    0.000    0.001    0.000 ast3.py:183(visit_arg)
      184    0.001    0.000    0.003    0.000 monitoring.py:143(get_cell)
       45    0.001    0.000    0.026    0.001 math_ops.py:3541(matmul)
      586    0.001    0.000    0.001    0.000 context.py:1008(_set_device)
      638    0.001    0.000    0.067    0.000 feedparser.py:178(_call_parse)
     4719    0.001    0.000    0.003    0.000 copy.py:263(<genexpr>)
       38    0.001    0.000    0.006    0.000 tracing_compiler.py:71(__init__)
  605/581    0.001    0.000    0.002    0.000 wandb_settings.py:200(is_instance_recursive)
     1116    0.001    0.000    0.002    0.000 backprop_util.py:28(_DTypeFromTensor)
        1    0.001    0.001    0.191    0.191 backend_bases.py:3404(new_figure_manager)
     1020    0.001    0.000    0.001    0.000 cbook.py:2011(_setattr_cm)
  342/228    0.001    0.000    0.017    0.000 omegaconf.py:994(_node_wrap)
        8    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
        1    0.001    0.001    0.001    0.001 __init__.py:722(find_distributions)
      178    0.001    0.000    0.002    0.000 scanner.py:1270(scan_plain)
      835    0.001    0.000    0.002    0.000 ops.py:6396(get_name_scope)
      103    0.001    0.000    0.015    0.000 wandb_run.py:364(wrapper)
       10    0.001    0.000    1.351    0.135 lstm.py:599(call)
      293    0.001    0.000    0.002    0.000 context.py:1012(device)
        7    0.001    0.000    0.031    0.004 subprocess.py:756(__init__)
      202    0.001    0.000    0.001    0.000 distributed_training_utils.py:133(maybe_preemption_handler_scope)
        6    0.001    0.000    0.001    0.000 {method 'sort' of 'numpy.ndarray' objects}
      258    0.001    0.000    0.082    0.000 __init__.py:32(message_from_string)
      101    0.001    0.000    0.011    0.000 wandb_run.py:1659(log)
       36    0.001    0.000    0.032    0.001 function_type.py:287(placeholder_arguments)
     5173    0.001    0.000    0.001    0.000 ops.py:5430(<dictcomp>)
       42    0.001    0.000    0.001    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
       10    0.001    0.000    0.201    0.020 control_flow_ops.py:2588(while_loop)
   436/27    0.001    0.000    0.002    0.000 LL1Analyzer.py:110(_LOOK)
      710    0.001    0.000    0.003    0.000 func_graph.py:439(control_dependencies)
      100    0.001    0.000    0.011    0.000 callbacks.py:1213(on_epoch_end)
      271    0.001    0.000    0.001    0.000 converter.py:147(__init__)
      710    0.001    0.000    0.002    0.000 ops.py:5004(control_dependencies)
      184    0.001    0.000    0.001    0.000 emitter.py:1080(write_plain)
        1    0.001    0.001    0.001    0.001 zipfile.py:1215(__init__)
     2493    0.001    0.000    0.001    0.000 func_graph.py:540(outer_graph)
      258    0.001    0.000    0.304    0.001 __init__.py:420(metadata)
     2662    0.001    0.000    0.015    0.000 nest.py:913(<genexpr>)
      444    0.001    0.000    0.005    0.000 ops.py:2633(_set_attr)
     3492    0.001    0.000    0.002    0.000 anno.py:152(copyanno)
     1560    0.001    0.000    0.006    0.000 training.py:344(<genexpr>)
      342    0.001    0.000    0.001    0.000 device.py:40(is_device_spec)
       74    0.001    0.000    0.001    0.000 {built-in method tensorflow.python.framework._op_def_registry.get}
      318    0.001    0.000    0.001    0.000 cbook.py:1743(normalize_kwargs)
      101    0.001    0.000    0.009    0.000 wandb_run.py:1494(_partial_history_callback)
       38    0.001    0.000    0.001    0.000 sequential.py:512(_assert_weights_created)
      194    0.001    0.000    0.001    0.000 nest.py:1167(flatten_up_to)
     3786    0.001    0.000    0.001    0.000 InputStream.py:48(LA)
       10    0.001    0.000    0.001    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_CreatePlaceholders}
     7028    0.001    0.000    0.001    0.000 {built-in method sys.getrecursionlimit}
     5622    0.001    0.000    0.001    0.000 {function ConvertingDict.__getitem__ at 0x179a2c430}
      526    0.001    0.000    0.001    0.000 gradients_util.py:227(_VerifyGeneratedGradients)
       78    0.001    0.000    0.012    0.000 text.py:734(draw)
      586    0.001    0.000    0.001    0.000 context.py:1003(device_spec)
     2026    0.001    0.000    0.001    0.000 gradients_util.py:417(<listcomp>)
      248    0.001    0.000    0.001    0.000 {built-in method time.localtime}
      293    0.001    0.000    0.001    0.000 context.py:2068(__exit__)
     1946    0.001    0.000    0.003    0.000 dictconfig.py:274(_validate_and_normalize_key)
      406    0.001    0.000    0.001    0.000 distribution_strategy_context.py:86(variable_sync_on_read_context)
      306    0.001    0.000    0.018    0.000 Lexer.py:114(nextToken)
      891    0.001    0.000    0.005    0.000 nodes.py:34(_set_value)
2684/2104    0.001    0.000    0.017    0.000 base_layer.py:3295(<genexpr>)
      258    0.001    0.000    0.080    0.000 parser.py:41(parse)
      103    0.001    0.000    0.001    0.000 training.py:3941(_get_verbosity)
       10    0.001    0.000    0.002    0.000 base.py:5373(__getitem__)
    48/20    0.001    0.000    0.039    0.002 basecontainer.py:306(_map_merge)
    36/20    0.001    0.000    2.265    0.113 tracing_compiler.py:275(_create_concrete_function)
     1008    0.001    0.000    0.003    0.000 ops.py:838(consumers)
       50    0.001    0.000    0.048    0.001 monomorphic_function.py:1295(__init__)
     1335    0.001    0.000    0.003    0.000 base_layer_utils.py:938(has_weights)
     2360    0.001    0.000    0.003    0.000 CommonTokenStream.py:61(LT)
        3    0.001    0.000    0.275    0.092 inspect_utils.py:123(getimmediatesource)
      315    0.001    0.000    0.002    0.000 ops.py:7020(__enter__)
        7    0.001    0.000    0.001    0.000 subprocess.py:1207(_close_pipe_fds)
      120    0.001    0.000    0.017    0.000 ops.py:3643(_add_function)
        4    0.001    0.000    0.001    0.000 {built-in method matplotlib._path.update_path_extents}
     6090    0.001    0.000    0.001    0.000 errors_impl.py:96(message)
      330    0.001    0.000    0.002    0.000 scanner.py:752(scan_to_next_token)
      598    0.001    0.000    0.001    0.000 inspect.py:1568(_check_instance)
     1776    0.001    0.000    0.004    0.000 omegaconf.py:971(read_write)
      188    0.001    0.000    0.001    0.000 c_api_util.py:42(__init__)
       65    0.001    0.000    0.004    0.000 lines.py:287(__init__)
      444    0.001    0.000    0.003    0.000 ops.py:2642(_set_attr_with_buf)
      164    0.001    0.000    0.005    0.000 distribute_lib.py:3646(_scope)
        1    0.001    0.001    0.001    0.001 missing.py:305(_isna_string_dtype)
        5    0.001    0.000    0.001    0.000 config.py:676(_translate_key)
     1074    0.001    0.000    0.001    0.000 font_manager.py:1191(score_weight)
       20    0.001    0.000    0.105    0.005 lstm.py:961(step)
        5    0.001    0.000    0.001    0.000 {built-in method _thread.start_new_thread}
        2    0.001    0.000    0.014    0.007 wandb_settings.py:1380(__copy__)
      155    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:112(release)
     1846    0.001    0.000    0.001    0.000 __init__.py:99(check_in_list)
       70    0.001    0.000    0.001    0.000 shlex.py:133(read_token)
       71    0.001    0.000    0.001    0.000 {method 'strftime' of 'datetime.date' objects}
      648    0.001    0.000    0.001    0.000 version.py:503(_cmpkey)
      248    0.001    0.000    0.001    0.000 {built-in method time.strftime}
       17    0.001    0.000    0.004    0.000 construction.py:517(sanitize_array)
       45    0.001    0.000    0.005    0.000 patches.py:746(get_patch_transform)
     3266    0.001    0.000    0.001    0.000 scanner.py:279(stale_possible_simple_keys)
   178/22    0.001    0.000    0.022    0.001 sre_compile.py:87(_compile)
     1812    0.001    0.000    0.003    0.000 base.py:123(_set_parent)
       50    0.001    0.000    0.006    0.000 monomorphic_function.py:1376(_initialize_function_spec)
      367    0.001    0.000    0.002    0.000 pathlib.py:682(_parse_args)
      100    0.001    0.000    0.011    0.000 lines.py:738(draw)
      318    0.001    0.000    0.001    0.000 cbook.py:1782(<dictcomp>)
     3800    0.001    0.000    0.001    0.000 callbacks.py:477(on_test_batch_begin)
       12    0.001    0.000    0.106    0.009 structured_function.py:78(__init__)
      517    0.001    0.000    0.009    0.000 nodes.py:128(__init__)
      141    0.001    0.000    0.003    0.000 monitoring.py:359(get_cell)
      606    0.001    0.000    0.001    0.000 func_graph.py:866(add_capture)
       41    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap>:901(_find_spec)
      464    0.001    0.000    0.002    0.000 fromnumeric.py:38(_wrapit)
       27    0.001    0.000    0.001    0.000 {built-in method numpy.empty}
      285    0.001    0.000    0.001    0.000 ops.py:4103(get_operations)
      422    0.001    0.000    0.004    0.000 ops.py:588(_shape_as_list)
      103    0.001    0.000    0.043    0.000 gen_array_ops.py:4489(invert_permutation)
       13    0.001    0.000    0.018    0.001 math_ops.py:2095(range)
      593    0.001    0.000    0.001    0.000 compile_utils.py:438(metrics)
     2741    0.001    0.000    0.001    0.000 ops.py:510(<listcomp>)
     5570    0.001    0.000    0.001    0.000 op_def_library.py:249(_MaybeColocateWith)
        5    0.001    0.000    0.002    0.000 base.py:5552(equals)
     1308    0.001    0.000    0.025    0.000 wandb_settings.py:553(_validate)
      110    0.001    0.000    0.028    0.000 functional.py:464(_lookup_dependency)
       51    0.001    0.000    0.003    0.000 textwrap.py:414(dedent)
      256    0.001    0.000    0.002    0.000 __init__.py:1060(flush)
     3789    0.001    0.000    0.001    0.000 _utils.py:516(_is_missing_literal)
        4    0.001    0.000    0.028    0.007 map_op.py:136(__init__)
      422    0.001    0.000    0.028    0.000 resource_variable_ops.py:2273(_dense_var_to_tensor)
      219    0.001    0.000    0.001    0.000 transforms.py:1975(rotate)
        1    0.001    0.001    0.001    0.001 {built-in method tensorflow.python._pywrap_tfe.TFE_ContextListDevices}
      128    0.001    0.000    0.016    0.000 __init__.py:1436(info)
     1443    0.001    0.000    0.001    0.000 {method 'write' of '_io.StringIO' objects}
     2460    0.001    0.000    0.001    0.000 traceable_stack.py:26(__init__)
      258    0.001    0.000    0.001    0.000 feedparser.py:139(__init__)
     2120    0.001    0.000    0.001    0.000 _utils.py:462(get_type_of)
      894    0.001    0.000    0.001    0.000 function_spec.py:319(<genexpr>)
     1209    0.001    0.000    0.001    0.000 ag_ctx.py:28(_control_ctx)
      806    0.001    0.000    0.007    0.000 backprop.py:158(record_gradient)
       78    0.001    0.000    0.002    0.000 tensor_util.py:629(MakeNdarray)
      316    0.001    0.000    0.080    0.000 func_graph.py:1156(convert)
     1859    0.000    0.000    0.001    0.000 object_identity.py:55(__eq__)
     1994    0.000    0.000    0.002    0.000 DFAState.py:106(__eq__)
      328    0.000    0.000    0.003    0.000 variable_scope.py:2866(variable_creator_scope)
      173    0.000    0.000    0.007    0.000 LexerATNSimulator.py:259(getReachableConfigSet)
      376    0.000    0.000    0.002    0.000 distribution_strategy_context.py:253(has_strategy)
      451    0.000    0.000    0.001    0.000 inspect.py:1548(currentframe)
      293    0.000    0.000    0.002    0.000 context.py:2328(device)
     6668    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
     1257    0.000    0.000    0.002    0.000 dictconfig.py:144(_is_typed)
      258    0.000    0.000    0.001    0.000 feedparser.py:70(close)
      710    0.000    0.000    0.000    0.000 ops.py:4880(__init__)
      710    0.000    0.000    0.001    0.000 ops.py:4950(_pop_control_dependencies_controller)
       14    0.000    0.000    0.934    0.067 monomorphic_function.py:487(_construct_forward_backward)
       18    0.000    0.000    0.025    0.001 gradients_util.py:137(_DefaultGradYs)
       12    0.000    0.000    0.002    0.000 typing.py:1411(get_type_hints)
      778    0.000    0.000    0.001    0.000 object_identity.py:141(__setitem__)
       14    0.000    0.000    0.031    0.002 functional_ops.py:1127(partitioned_call)
      643    0.000    0.000    0.003    0.000 fromnumeric.py:51(_wrapfunc)
       10    0.000    0.000    0.161    0.016 lstm.py:1004(gpu_lstm)
      628    0.000    0.000    0.002    0.000 array_ops.py:1584(_should_not_autopack)
      236    0.000    0.000    0.001    0.000 transforms.py:2348(__init__)
        1    0.000    0.000    0.001    0.001 wandb_run.py:754(_handle_launch_artifact_overrides)
     1952    0.000    0.000    0.001    0.000 gradients_util.py:376(_Captures)
      405    0.000    0.000    0.002    0.000 __init__.py:183(dumps)
     1032    0.000    0.000    0.005    0.000 message.py:564(get_content_type)
      524    0.000    0.000    0.001    0.000 variable_utils.py:37(_convert_resource_variable_to_tensor)
        1    0.000    0.000    0.002    0.002 common.py:664(get_handle)
      270    0.000    0.000    0.184    0.001 pathlib.py:1262(read_text)
      248    0.000    0.000    0.000    0.000 __init__.py:358(getMessage)
1436/1244    0.000    0.000    0.006    0.000 deprecation.py:289(wrapper)
        5    0.000    0.000    0.000    0.000 generic.py:6281(__getattr__)
        1    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_NewContextOptions}
       14    0.000    0.000    0.024    0.002 gen_functional_ops.py:948(stateless_while)
       71    0.000    0.000    0.002    0.000 transforms.py:1106(get_points)
      544    0.000    0.000    0.003    0.000 ag_logging.py:117(has_verbosity)
       23    0.000    0.000    0.001    0.000 {built-in method matplotlib._path.point_in_path}
      457    0.000    0.000    0.001    0.000 codecs.py:319(decode)
  706/634    0.000    0.000    0.002    0.000 optimizer_v2.py:971(__getattribute__)
       88    0.000    0.000    0.001    0.000 lock_util.py:52(__init__)
      105    0.000    0.000    0.000    0.000 {method 'findall' of 're.Pattern' objects}
      246    0.000    0.000    0.002    0.000 parser.py:273(parse_node)
        8    0.000    0.000    0.000    0.000 backend.py:7371(__init__)
     3362    0.000    0.000    0.000    0.000 flags.py:25(config)
       42    0.000    0.000    0.001    0.000 conversion.py:112(is_allowlisted)
        1    0.000    0.000    0.310    0.310 interface.py:293(publish_python_packages)
      103    0.000    0.000    0.075    0.001 array_grad.py:828(_TransposeGrad)
        5    0.000    0.000    0.001    0.000 threading.py:802(__init__)
    348/3    0.000    0.000    0.001    0.000 ast.py:200(_fix)
      380    0.000    0.000    0.062    0.000 feedparser.py:173(feed)
       37    0.000    0.000    0.001    0.000 handle_data_util.py:61(create_handle_data)
       78    0.000    0.000    0.001    0.000 monomorphic_function.py:72(_parse_func_attrs)
     2565    0.000    0.000    0.001    0.000 SemanticContext.py:109(__hash__)
      764    0.000    0.000    0.002    0.000 function_type.py:327(sanitize_arg_name)
     1930    0.000    0.000    0.001    0.000 _utils.py:205(is_union_annotation)
      870    0.000    0.000    0.040    0.000 typing.py:848(__subclasscheck__)
      838    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
     1026    0.000    0.000    0.001    0.000 resource_variable_ops.py:245(_handle_graph)
     4736    0.000    0.000    0.000    0.000 control_flow_util.py:187(GetContainingWhileContext)
     1711    0.000    0.000    0.001    0.000 ATNConfigSet.py:138(__eq__)
     1552    0.000    0.000    0.001    0.000 inspect.py:81(ismethod)
  386/240    0.000    0.000    0.113    0.000 while_v2.py:998(_create_op_internal)
     5233    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
      405    0.000    0.000    0.002    0.000 encoder.py:182(encode)
      268    0.000    0.000    0.001    0.000 converter.py:168(__hash__)
      776    0.000    0.000    0.001    0.000 ops.py:3621(_is_function)
        7    0.000    0.000    0.000    0.000 cast.py:1157(maybe_infer_to_datetimelike)
      130    0.000    0.000    0.006    0.000 function_base.py:2399(_vectorize_call)
     2609    0.000    0.000    0.001    0.000 object_identity.py:64(__hash__)
        1    0.000    0.000    0.000    0.000 {method 'cache_clear' of 'functools._lru_cache_wrapper' objects}
      248    0.000    0.000    0.001    0.000 __init__.py:628(usesTime)
      330    0.000    0.000    0.007    0.000 scanner.py:156(fetch_more_tokens)
        1    0.000    0.000    0.001    0.001 shutil.py:636(_rmtree_safe_fd)
      100    0.000    0.000    0.000    0.000 monomorphic_function.py:231(<listcomp>)
        1    0.000    0.000    0.000    0.000 backend_agg.py:58(RendererAgg)
        4    0.000    0.000    0.189    0.047 data_adapter.py:233(__init__)
     1468    0.000    0.000    0.001    0.000 base.py:181(_get_node_flag)
      232    0.000    0.000    0.000    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_FunctionSetAttrValueProto}
        1    0.000    0.000    0.001    0.001 zipp.py:230(__init__)
        1    0.000    0.000    0.000    0.000 base_parser.py:115(__init__)
  812/590    0.000    0.000    0.000    0.000 transforms.py:167(_invalidate_internal)
      396    0.000    0.000    0.001    0.000 colors.py:268(to_rgba)
        1    0.000    0.000    0.016    0.016 _base.py:569(__init__)
        8    0.000    0.000    0.002    0.000 __init__.py:738(<genexpr>)
      155    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
    85/83    0.000    0.000    0.020    0.000 omegaconf.py:818(_create_impl)
        1    0.000    0.000    0.007    0.007 backend_agg.py:1(<module>)
      140    0.000    0.000    0.015    0.000 __init__.py:1645(callHandlers)
      428    0.000    0.000    0.062    0.000 wandb_run.py:397(wrapper_fn)
     1269    0.000    0.000    0.000    0.000 posixpath.py:41(_get_sep)
       77    0.000    0.000    0.001    0.000 function_spec.py:139(to_input_signature)
     1181    0.000    0.000    0.001    0.000 IntervalSet.py:89(__contains__)
      115    0.000    0.000    1.323    0.012 iterator_ops.py:675(__init__)
      234    0.000    0.000    0.001    0.000 activity.py:181(finalize)
      104    0.000    0.000    0.001    0.000 interface_shared.py:123(_make_request)
      100    0.000    0.000    0.001    0.000 training.py:3691(_check_sample_weight_warning)
     1133    0.000    0.000    0.000    0.000 object_identity.py:132(__init__)
     53/1    0.000    0.000  221.649  221.649 {built-in method builtins.exec}
       98    0.000    0.000    0.019    0.000 text.py:915(get_window_extent)
      462    0.000    0.000    0.000    0.000 fromnumeric.py:3121(ndim)
        3    0.000    0.000    0.022    0.007 cmd.py:1079(execute)
    94/75    0.000    0.000    0.203    0.003 <frozen importlib._bootstrap>:1002(_find_and_load)
       10    0.000    0.000    0.001    0.000 configparser.py:996(_read)
      291    0.000    0.000    0.001    0.000 ast.py:175(copy_location)
       20    0.000    0.000    0.122    0.006 array_grad.py:49(_ConcatGradHelper)
      780    0.000    0.000    0.001    0.000 object_identity.py:199(add)
      766    0.000    0.000    0.001    0.000 ops.py:4937(add_op)
       25    0.000    0.000    0.017    0.001 nn_ops.py:3510(bias_add)
      346    0.000    0.000    0.001    0.000 dates.py:220(_get_tzinfo)
       23    0.000    0.000    0.013    0.001 backend_bases.py:1365(__init__)
      248    0.000    0.000    0.003    0.000 message.py:213(get_payload)
     2641    0.000    0.000    0.000    0.000 op_def_library.py:44(_AttrValue)
        5    0.000    0.000    0.000    0.000 legend.py:1251(_get_legend_handles)
       66    0.000    0.000    0.006    0.000 dates.py:974(__call__)
       18    0.000    0.000    0.001    0.000 sessions.py:391(__init__)
     1567    0.000    0.000    0.001    0.000 _utils.py:212(_resolve_optional)
       46    0.000    0.000    0.038    0.001 <frozen importlib._bootstrap_external>:916(get_code)
      498    0.000    0.000    0.000    0.000 {method 'replace' of 'datetime.datetime' objects}
      222    0.000    0.000    0.001    0.000 activity.py:266(_track_symbol)
      209    0.000    0.000    0.005    0.000 transforms.py:1472(transform)
       20    0.000    0.000    0.011    0.001 backend_bases.py:1461(__init__)
      581    0.000    0.000    0.003    0.000 wandb_settings.py:965(helper)
      100    0.000    0.000    0.017    0.000 callbacks.py:1086(on_epoch_begin)
     1609    0.000    0.000    0.000    0.000 LexerATNSimulator.py:472(captureSimState)
      258    0.000    0.000    0.032    0.000 _adapters.py:64(_repair_headers)
      202    0.000    0.000    0.001    0.000 base_metric.py:380(trainable_weights)
     1780    0.000    0.000    0.003    0.000 omegaconf.py:503(set_readonly)
      293    0.000    0.000    0.004    0.000 ops.py:5505(device)
      565    0.000    0.000    0.002    0.000 os.py:771(getenv)
     1411    0.000    0.000    0.001    0.000 ATNConfig.py:129(__hash__)
        2    0.000    0.000    0.000    0.000 wandb_settings.py:1386(<dictcomp>)
      168    0.000    0.000    0.001    0.000 transforms.py:2043(scale)
        8    0.000    0.000    0.008    0.001 dataset_ops.py:4733(__init__)
     1778    0.000    0.000    0.001    0.000 _utils.py:625(is_primitive_dict)
       28    0.000    0.000    0.000    0.000 warnings.py:458(__enter__)
      710    0.000    0.000    0.001    0.000 ops.py:4947(_push_control_dependencies_controller)
      122    0.000    0.000    0.002    0.000 sequential.py:144(layers)
      525    0.000    0.000    0.000    0.000 qual_names.py:56(__init__)
      223    0.000    0.000    0.001    0.000 base.py:326(_maybe_initialize_trackable)
        4    0.000    0.000    0.000    0.000 __init__.py:1372(_clear_cache)
       19    0.000    0.000    0.031    0.002 axis.py:1270(_update_ticks)
     1248    0.000    0.000    0.001    0.000 gradients_util.py:871(<genexpr>)
      212    0.000    0.000    0.009    0.000 gen_math_ops.py:3211(div_no_nan)
     1893    0.000    0.000    0.000    0.000 LexerATNSimulator.py:206(getExistingTargetState)
       27    0.000    0.000    0.001    0.000 wandb_settings.py:1230(_project_url_base)
     1481    0.000    0.000    0.004    0.000 ops.py:608(get_shape)
      100    0.000    0.000    0.000    0.000 monomorphic_function.py:263(<listcomp>)
       29    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        7    0.000    0.000    0.000    0.000 patches.py:396(set_linestyle)
     1065    0.000    0.000    0.000    0.000 {method 'ravel' of 'numpy.ndarray' objects}
      774    0.000    0.000    0.001    0.000 ast.py:256(iter_child_nodes)
      324    0.000    0.000    0.006    0.000 version.py:49(base_at_least)
       54    0.000    0.000    0.002    0.000 internal_api.py:391(settings)
     1308    0.000    0.000    0.001    0.000 wandb_settings.py:537(_preprocess)
      202    0.000    0.000    0.007    0.000 context.py:699(sync_executors)
      244    0.000    0.000    0.003    0.000 emitter.py:232(expect_node)
      248    0.000    0.000    0.002    0.000 __init__.py:582(formatTime)
     1008    0.000    0.000    0.001    0.000 ops.py:847(<listcomp>)
      103    0.000    0.000    0.010    0.000 gen_dataset_ops.py:187(anonymous_iterator_v3)
        1    0.000    0.000    0.000    0.000 {built-in method PIL._imaging.fill}
        6    0.000    0.000    0.005    0.001 array_ops.py:5113(gather)
      402    0.000    0.000    0.003    0.000 qual_names.py:224(visit_Name)
     1782    0.000    0.000    0.001    0.000 copyreg.py:94(__newobj__)
      255    0.000    0.000    0.000    0.000 weakref.py:290(update)
     3648    0.000    0.000    0.000    0.000 data_structures.py:389(_values)
      585    0.000    0.000    0.013    0.000 nodes.py:102(_deepcopy_impl)
      711    0.000    0.000    0.001    0.000 ATNConfigSet.py:102(getOrAdd)
      314    0.000    0.000    0.001    0.000 io_utils.py:55(is_interactive_logging_enabled)
        3    0.000    0.000    0.012    0.004 frame.py:4050(__getitem__)
        1    0.000    0.000    0.017    0.017 figure.py:658(add_subplot)
      118    0.000    0.000    0.000    0.000 transforms.py:368(bounds)
      378    0.000    0.000    0.001    0.000 distribution_strategy_context.py:366(_get_default_strategy)
     1485    0.000    0.000    0.000    0.000 base.py:108(__init__)
      164    0.000    0.000    0.001    0.000 ops.py:4640(colocate_with)
   176/78    0.000    0.000    0.001    0.000 default_types.py:209(_to_tensors)
       90    0.000    0.000    0.023    0.000 nest.py:1442(map_structure_with_tuple_paths_up_to)
     2345    0.000    0.000    0.000    0.000 object_identity.py:39(_assert_type)
     3546    0.000    0.000    0.000    0.000 basecontainer.py:707(_value)
        9    0.000    0.000    0.000    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_DeleteFunction}
        1    0.000    0.000    0.000    0.000 weakref.py:593(detach)
     3325    0.000    0.000    0.000    0.000 base.py:128(_invalidate_flags_cache)
        1    0.000    0.000    0.005    0.005 legend.py:354(__init__)
        1    0.000    0.000    0.001    0.001 Image.py:2936(new)
       32    0.000    0.000    0.000    0.000 base_layer_utils.py:457(call_context)
        1    0.000    0.000    0.001    0.001 gridspec.py:561(_from_subplot_args)
        3    0.000    0.000    0.001    0.000 inspect_utils.py:320(<genexpr>)
      699    0.000    0.000    0.005    0.000 ops.py:5617(colocate_with)
     1302    0.000    0.000    0.002    0.000 gradients_util.py:873(<genexpr>)
        9    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_ContextRemoveFunction}
        4    0.000    0.000    0.002    0.001 _data.py:548(inverse_transform)
       55    0.000    0.000    0.002    0.000 lines.py:666(recache)
       70    0.000    0.000    0.016    0.000 tensor_array_ops.py:1022(__init__)
        3    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_MonitoringGetCellBoolGauge0}
      359    0.000    0.000    0.001    0.000 training.py:892(distribute_strategy)
       12    0.000    0.000    0.000    0.000 cfg.py:285(reset)
      379    0.000    0.000    0.004    0.000 transforms.py:813(from_extents)
       71    0.000    0.000    0.022    0.000 gen_math_ops.py:443(add_v2)
      164    0.000    0.000    0.005    0.000 distribute_lib.py:866(scope)
      420    0.000    0.000    0.001    0.000 tensor_spec.py:43(sanitize_spec_name)
     1208    0.000    0.000    0.001    0.000 control_flow_util.py:103(IsLoopExit)
        3    0.000    0.000    0.001    0.000 rcsetup.py:249(validate_backend)
     2527    0.000    0.000    0.000    0.000 base_layer.py:1219(trainable)
      685    0.000    0.000    0.001    0.000 resolver.py:143(resolve)
       25    0.000    0.000    0.002    0.000 configparser.py:1320(__init__)
      499    0.000    0.000    0.005    0.000 {method 'all' of 'numpy.ndarray' objects}
      628    0.000    0.000    0.020    0.000 array_ops.py:1594(_autopacking_conversion_function)
     8972    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
      838    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        1    0.000    0.000    1.078    1.078 wandb_init.py:144(setup)
       29    0.000    0.000    0.000    0.000 base_layer_utils.py:570(__enter__)
      644    0.000    0.000    0.040    0.000 typing.py:719(__instancecheck__)
      455    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      435    0.000    0.000    0.001    0.000 configparser.py:765(get)
1362/1323    0.000    0.000    0.000    0.000 qual_names.py:157(__hash__)
      648    0.000    0.000    0.000    0.000 wandb_settings.py:961(_validator_factory)
       20    0.000    0.000    0.009    0.000 backend.py:4961(<genexpr>)
       65    0.000    0.000    0.044    0.001 gen_math_ops.py:5986(mat_mul)
      501    0.000    0.000    0.000    0.000 compat.py:37(_date_to_date_number)
       70    0.000    0.000    0.016    0.000 tensor_array_ops.py:403(__init__)
      382    0.000    0.000    0.007    0.000 <__array_function__ internals>:177(array_equal)
     1300    0.000    0.000    0.000    0.000 ops.py:5456(_control_dependencies_stack)
     1934    0.000    0.000    0.000    0.000 gradients_util.py:862(_FilterGrad)
      324    0.000    0.000    0.005    0.000 version.py:43(_get_version)
       23    0.000    0.000    0.003    0.000 omegaconf.py:652(select)
  320/224    0.000    0.000    0.018    0.000 basecontainer.py:622(_wrap_value_and_set)
     1696    0.000    0.000    0.000    0.000 gradients_util.py:996(<genexpr>)
      693    0.000    0.000    0.000    0.000 weakref.py:452(get)
      187    0.000    0.000    0.000    0.000 threading.py:82(RLock)
       78    0.000    0.000    0.001    0.000 auto_control_deps.py:269(__enter__)
   103/97    0.000    0.000    0.006    0.000 tensor_util.py:745(_ConstantValue)
      117    0.000    0.000    0.000    0.000 emitter.py:580(prepare_tag)
        1    0.000    0.000    0.000    0.000 series.py:6450(any)
        8    0.000    0.000    0.022    0.003 wandb_settings.py:1047(_validate_base_url)
       24    0.000    0.000    0.006    0.000 ticker.py:2077(_raw_ticks)
     40/2    0.000    0.000    0.002    0.001 representer.py:103(represent_mapping)
      619    0.000    0.000    0.001    0.000 base.py:88(__post_init__)
      711    0.000    0.000    0.002    0.000 ATNConfigSet.py:77(add)
        1    0.000    0.000    0.002    0.002 wandb_run.py:169(__init__)
      607    0.000    0.000    0.000    0.000 _utils.py:630(is_dict_annotation)
       47    0.000    0.000    0.001    0.000 pathlib.py:1079(__new__)
        1    0.000    0.000    0.002    0.002 wandb_run.py:2197(_set_globals)
