         20874020 function calls (19984092 primitive calls) in 221.636 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    18823    0.035    0.000    0.864    0.000 function_spec.py:373(canonicalize_function_inputs)
    18800    0.034    0.000    0.034    0.000 weakref.py:455(__contains__)
20563/20365    0.033    0.000    0.153    0.000 nest.py:612(_packed_nest_with_indices)
      100    0.033    0.000   15.883    0.159 training.py:1903(evaluate)
        2    0.032    0.016    0.032    0.016 {method 'encode' of 'ImagingEncoder' objects}
    75256    0.032    0.000    0.110    0.000 tensor_spec.py:115(__hash__)
    95687    0.032    0.000    0.032    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_OperationOpType}
    45360    0.032    0.000    0.081    0.000 nest.py:261(_yield_sorted_items)
20428/19326    0.032    0.000    0.128    0.000 trace_type_builder.py:159(from_value)
2785/2653    0.031    0.000    1.057    0.000 op_def_library.py:751(_apply_op_helper)
    56439    0.031    0.000    0.045    0.000 iterator_ops.py:791(_type_spec)
    38094    0.030    0.000    0.535    0.000 function_type.py:143(__hash__)
    19748    0.030    0.000    1.157    0.000 resource_variable_ops.py:726(_read_variable_op)
    59141    0.029    0.000    0.034    0.000 contextlib.py:86(__init__)
    59215    0.029    0.000    0.029    0.000 {built-in method tensorflow.python.util._pywrap_utils.IsNestedOrComposite}
28507/28445    0.029    0.000    0.354    0.000 ops.py:1574(convert_to_tensor)
    18821    0.028    0.000    0.767    0.000 function_spec.py:328(make_canonicalized_monomorphic_type)
     5173    0.028    0.000    0.028    0.000 {built-in method tensorflow.python.util._tf_stack.extract_stack_for_op}
       88    0.028    0.000    0.028    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_NewGraph}
    53665    0.028    0.000    0.049    0.000 dtypes.py:773(as_dtype)
    37680    0.027    0.000    0.041    0.000 inspect.py:2671(kwargs)
   321715    0.026    0.000    0.026    0.000 inspect.py:2865(parameters)
      258    0.026    0.000    0.029    0.000 _adapters.py:71(<listcomp>)
   103245    0.025    0.000    0.052    0.000 ops.py:5896(get_default)
     2785    0.025    0.000    0.180    0.000 op_def_library.py:410(_ExtractInputsAndAttrs)
     5173    0.025    0.000    0.486    0.000 ops.py:2002(__init__)
     9666    0.025    0.000    0.055    0.000 base_layer.py:3308(_flatten_modules)
    24747    0.025    0.000    0.046    0.000 ops.py:6767(name_scope)
    39646    0.025    0.000    0.049    0.000 nest.py:138(_sorted)
    19748    0.024    0.000    0.771    0.000 gen_resource_variable_ops.py:501(read_variable_op)
    19047    0.024    0.000    0.230    0.000 function_type.py:357(_make_validated_mono_param)
    19606    0.024    0.000    0.099    0.000 function_type.py:51(__init__)
      190    0.024    0.000    0.095    0.001 generic_utils.py:180(update)
189797/185593    0.024    0.000    0.025    0.000 {built-in method builtins.len}
   113252    0.024    0.000    0.031    0.000 function_type.py:92(optional)
    19124    0.024    0.000    0.031    0.000 trace_type_builder.py:61(__init__)
    43740    0.023    0.000    0.104    0.000 nest.py:256(_yield_value)
    19698    0.023    0.000    0.135    0.000 ops.py:1136(numpy)
    37576    0.023    0.000    0.023    0.000 polymorphic_function.py:829(experimental_get_tracing_count)
   338457    0.023    0.000    0.023    0.000 {method 'append' of 'list' objects}
      199    0.023    0.000    0.091    0.000 base_metric.py:243(reset_state)
     5173    0.022    0.000    0.041    0.000 ops.py:1885(_NodeDef)
      100    0.022    0.000    0.022    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_GraphToFunction_wrapper}
     5173    0.021    0.000    0.120    0.000 ops.py:2145(_init_from_c_op)
     4504    0.021    0.000    0.021    0.000 {method 'ParseFromString' of 'google.protobuf.pyext._message.CMessage' objects}
59141/48698    0.021    0.000    0.093    0.000 contextlib.py:123(__exit__)
    20269    0.021    0.000    0.021    0.000 resource_variable_ops.py:626(trainable)
    18816    0.021    0.000    0.021    0.000 context.py:1270(function_call_options)
        1    0.021    0.021    0.042    0.042 backend_macosx.py:148(__init__)
    40498    0.021    0.000    0.022    0.000 {built-in method builtins.sorted}
    18823    0.020    0.000    0.138    0.000 function_spec.py:574(filter_function_inputs)
    56467    0.020    0.000    0.347    0.000 inspect.py:3040(bind)
     7102    0.020    0.000    0.035    0.000 inspect.py:2152(_signature_from_function)
    37570    0.020    0.000    0.451    0.000 type_spec.py:507(__eq__)
      107    0.019    0.000    0.020    0.000 sre_compile.py:292(_optimize_charset)
     5173    0.019    0.000    0.663    0.000 ops.py:3755(_create_op_internal)
    18785    0.019    0.000    0.739    0.000 type_dispatch.py:75(dispatch)
   252964    0.019    0.000    0.019    0.000 inspect.py:2548(name)
     1304    0.019    0.000    0.060    0.000 tensor_util.py:421(make_tensor_proto)
    37578    0.018    0.000    0.455    0.000 type_spec.py:515(__hash__)
    20555    0.018    0.000    0.021    0.000 ops.py:433(__getattr__)
    11413    0.018    0.000    0.018    0.000 {method 'SerializeToString' of 'google.protobuf.pyext._message.CMessage' objects}
    18785    0.018    0.000    0.018    0.000 polymorphic_function.py:170(called_without_tracing)
        1    0.018    0.018    0.022    0.022 datetimes.py:126(_guess_datetime_format_for_array)
    19028    0.018    0.000    0.057    0.000 function_type.py:159(__init__)
    20202    0.018    0.000    0.036    0.000 typing_extensions.py:556(__instancecheck__)
7635/7114    0.018    0.000    0.066    0.000 inspect.py:2246(_signature_from_callable)
       43    0.017    0.000    0.017    0.000 {built-in method marshal.loads}
   527064    0.017    0.000    0.017    0.000 {built-in method builtins.callable}
    20061    0.017    0.000    0.422    0.000 gen_array_ops.py:4079(identity)
     5880    0.017    0.000    0.017    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_OperationOutputType}
28507/28445    0.016    0.000    0.370    0.000 trace.py:178(wrapped)
     5173    0.016    0.000    0.063    0.000 ops.py:3858(_create_op_helper)
     5173    0.016    0.000    0.016    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_NewOperation}
5173/4441    0.016    0.000    0.754    0.000 func_graph.py:641(_create_op_internal)
    23030    0.016    0.000    0.022    0.000 enum.py:358(__call__)
    18814    0.016    0.000    0.193    0.000 monomorphic_function.py:1955(captured_inputs)
59141/46135    0.016    0.000    0.187    0.000 contextlib.py:114(__enter__)
        7    0.016    0.002    0.016    0.002 {built-in method _posixsubprocess.fork_exec}
    59141    0.016    0.000    0.050    0.000 contextlib.py:261(helper)
      100    0.016    0.000    0.079    0.001 callbacks.py:2066(on_epoch_end)
     6154    0.016    0.000    0.109    0.000 func_graph.py:482(inner_cm)
       49    0.016    0.000    0.016    0.000 {method 'read' of '_io.BufferedReader' objects}
    48679    0.016    0.000    0.029    0.000 ops.py:5463(_distribution_strategy_stack)
       83    0.016    0.000    0.016    0.000 {method 'readline' of '_io.BufferedReader' objects}
     6000    0.016    0.000    0.016    0.000 c_api_util.py:232(tf_output)
    75256    0.016    0.000    0.022    0.000 tensor_shape.py:1483(__hash__)
      120    0.016    0.000    0.016    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_GraphCopyFunction}
    17976    0.015    0.000    0.044    0.000 {method 'join' of 'str' objects}
   247751    0.015    0.000    0.015    0.000 inspect.py:2556(annotation)
    10783    0.015    0.000    0.015    0.000 {method 'ByteSize' of 'google.protobuf.pyext._message.CMessage' objects}
    38110    0.015    0.000    0.015    0.000 {built-in method tensorflow.python.util._pywrap_utils.IsResourceVariable}
    19440    0.015    0.000    0.015    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_VariableWatcherVariableAccessed}
24970/115    0.014    0.000    0.049    0.000 copy.py:128(deepcopy)
    12316    0.014    0.000    0.014    0.000 {method 'CopyFrom' of 'google.protobuf.pyext._message.CMessage' objects}
    76273    0.014    0.000    0.014    0.000 {method 'values' of 'mappingproxy' objects}
     2398    0.014    0.000    0.014    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    76926    0.014    0.000    0.014    0.000 {method '_datatype_enum' of 'tensorflow.python.framework.ops.EagerTensor' objects}
